Date,Close,Volume
2022-05-06,127.2145243798746,174740
2022-05-09,127.90867947857069,478496
2022-05-10,130.34596945963645,953049
2022-05-11,129.44186327188174,850201
2022-05-12,129.28653897868622,903328
2022-05-13,129.0023226724219,277247
2022-05-16,126.57529277615767,763165
2022-05-17,127.66753333028682,629525
2022-05-18,128.6896438746466,120056
2022-05-19,129.19987078793153,276615
2022-05-20,129.23069652118122,287628
2022-05-23,126.89995503708039,738836
2022-05-24,126.55866439154968,473632
2022-05-25,126.37323535849615,234415
2022-05-26,125.26868082005291,506716
2022-05-27,125.44610939672089,546438
2022-05-30,126.75421111034996,653663
2022-05-31,131.026582912771,765022
2022-06-01,131.8757385384347,641252
2022-06-02,132.89083931988023,737717
2022-06-03,133.24194748834788,352764
2022-06-06,129.9044050577498,814998
2022-06-07,130.35137730685136,566882
2022-06-08,130.97183772673344,840427
2022-06-09,136.398321951704,612153
2022-06-10,136.51360002214176,167215
2022-06-13,137.61669470680897,955474
2022-06-14,138.0472711673985,244356
2022-06-15,136.20991509215943,303861
2022-06-16,138.99556072118946,455612
2022-06-17,140.99942678656302,554605
2022-06-20,143.0814906806491,109435
2022-06-21,141.76271577105962,547556
2022-06-22,145.06830439293182,799438
2022-06-23,142.76460226734727,965264
2022-06-24,144.4383164549478,675581
2022-06-27,149.31922770656774,178781
2022-06-28,147.8381550563064,291475
2022-06-29,147.20555959710083,260196
2022-06-30,147.90486232727613,326507
2022-07-01,147.39791101904373,406063
2022-07-04,144.79658415691145,864121
2022-07-05,145.4337101065235,876665
2022-07-06,143.80910267907132,790607
2022-07-07,145.25628754034167,221172
2022-07-08,143.91743907187407,456902
2022-07-11,147.51730788190915,584963
2022-07-12,146.45080129723667,555968
2022-07-13,146.3066782648253,418717
2022-07-14,148.43371269956464,159101
2022-07-15,146.47198406669673,595972
2022-07-18,147.426903935905,388790
2022-07-19,150.54118944446986,990617
2022-07-20,147.8262229753474,647337
2022-07-21,148.69549069241202,834965
2022-07-22,149.71525628090887,460260
2022-07-25,151.7789020244635,983811
2022-07-26,149.8050006027073,692673
2022-07-27,147.66408737653876,750419
2022-07-28,149.2079705077726,533374
2022-07-29,150.30193985423895,820777
2022-08-01,151.3029255549307,647577
2022-08-02,152.49582197392465,472370
2022-08-03,151.63577253076767,987225
2022-08-04,152.60027992508967,371967
2022-08-05,153.68642487168705,291232
2022-08-08,152.7577220356343,404119
2022-08-09,156.98927105792382,109540
2022-08-10,158.4369368997474,640652
2022-08-11,156.5543299053421,497827
2022-08-12,158.36743712260974,651951
2022-08-15,156.9180737821551,151991
2022-08-16,158.99224298964,288751
2022-08-17,161.80943414765483,466326
2022-08-18,160.6680695109514,786337
2022-08-19,163.09482176944005,718992
2022-08-22,164.42038362331303,149115
2022-08-23,166.56450394330201,453151
2022-08-24,170.8580899086099,843583
2022-08-25,170.86731367660417,291962
2022-08-26,169.8598413478892,821747
2022-08-29,168.58081248863814,249143
2022-08-30,167.44919191870727,814635
2022-08-31,167.79498849987908,636226
2022-09-01,168.97729244951236,453824
2022-09-02,170.0306740481724,104000
2022-09-05,172.18504054624447,825948
2022-09-06,172.71104433000028,987474
2022-09-07,176.1181124843149,455754
2022-09-08,176.08879881783898,351492
2022-09-09,182.02913715101823,990123
2022-09-12,183.78047184654824,599522
2022-09-13,182.56615673371567,591072
2022-09-14,180.92437173759345,138304
2022-09-15,182.38931656807983,604999
2022-09-16,182.4423909974281,431593
2022-09-19,184.3703919856123,707274
2022-09-20,185.8168672347594,251836
2022-09-21,186.17120940944562,208940
2022-09-22,184.97762197330883,924926
2022-09-23,182.4479275239371,365517
2022-09-26,182.05489761980306,767521
2022-09-27,184.26769520845,721820
2022-09-28,185.1958826967104,979090
2022-09-29,183.20440513928645,485777
2022-09-30,184.0507669909888,724674
2022-10-03,185.32140175044648,651638
2022-10-04,184.05368687804423,717296
2022-10-05,184.86113708993526,980729
2022-10-06,185.47755452682725,649639
2022-10-07,183.69161393116602,712956
